tracer_number,CO_max_error,CO_l2_error,C+_max_error,C+_l2_error,O+_max_error,O+_l2_error,O_max_error,O_l2_error,e-_max_error,e-_l2_error
0,0.5594863625744202,0.0318832846473533,3.408017296745745e-05,1.927983100031611e-06,0.1236692988329114,0.0092249695944029,0.0001474658204998,6.556893022623712e-05,0.0004128476909119,0.0001742657197057
1,0.0021716565486569,0.0003379483335337,7.9428866802663185,0.0060861782091327,7.869084411232038,0.0034012874232046,0.0055694772774928,0.0005043196077723,2.9038685458158238,0.0115398178999343
2,0.016671653220694,0.005687905761,0.0025585034308817,0.0012272595082562,0.2929587491671347,0.0041588606843678,0.0003336086008804,0.0001421482019461,0.0024933076038745,0.0012130046324529
3,0.4961481513064804,0.0257227156716218,0.0418450768344619,0.005825082857741,0.4045774482920504,0.0280785811132143,0.000109362702483,3.7306288023084405e-05,0.0402632874728854,0.0056615776189161
4,0.2573022817458144,0.0090038668195944,0.1867460624177979,0.0089864603835876,0.3678096992066282,0.0407738511692745,0.010438215590157,0.0026116593785068,0.1805068527602473,0.0089343761641907
5,0.1215145461960184,0.0099710548174797,0.0794221668190327,0.0097115406865528,0.7093128869446175,0.0366788019622725,0.000423007778582,8.072733115360585e-05,0.0721265765930886,0.009507447533631
6,0.1913038099291178,0.0361076042651111,0.0022703265466957,0.000352700785436,0.4870605012639289,0.0136922821342069,3.368306440600478e-05,6.912617728922762e-06,0.0021940709553515,0.0003492039399688
7,0.3959746021420893,0.048428955228999,0.0004131746761345,3.889675531226776e-05,0.2442181444575945,0.0092368076345063,5.415196898368864e-05,1.946542819878752e-05,0.0004613267936706,0.0001043588181248
8,0.00081023950785,0.0002438071902948,0.0271510028834475,0.0033735201471959,0.0117167511260439,0.0032464180583592,0.0007554117144629,0.0002416896868135,0.0288122683529026,0.0061063098162356
9,0.3971062159913579,0.0520862526881857,0.0002128549482974,1.0346625304199998e-05,0.2614049360379412,0.0053071684760377,3.7782065314959975e-05,1.965488481944465e-05,0.0003221151842355,9.54055243345192e-05
10,0.4439812510371552,0.0073255147772257,0.1480878410416411,0.0082308546008631,0.265223007423384,0.0307980132971363,0.0033048153225164,0.0007600652477653,0.1099973687287336,0.0081971535863934
11,0.1661089602602413,0.02324612253869,0.120506989856015,0.0095164259565534,0.5638627850331916,0.0277518832594726,0.0004419177295824,0.0001394165479162,0.098189177941951,0.0092300706610752
12,0.0010537628775341,0.0003306909944865,1.3793995773917045,0.0058419761123489,1.3702111585877792,0.0032960453385887,0.0029713615966129,0.0005064933050747,0.6701949143592372,0.0115767832729744
13,0.0023050180915728,0.0020575174106013,0.1436951127494007,0.0070385419779252,0.1060570462216021,0.0176779878897105,0.0015328822347473,0.0010955763593309,0.0839301176835731,0.0045861175989404
14,0.2781720545416249,0.0383576055013409,0.0004065405911604,5.433978843934746e-05,0.3509960314122931,0.0124777533732544,6.706502176477281e-05,1.6833119848387175e-05,0.0003821191670953,0.0001178735492716
15,0.4853396903751698,0.0610265454020622,0.0064898737038968,0.001036144682856,0.292736690738781,0.0128564437090405,0.0001284622998821,2.912485023353525e-05,0.0063354059792393,0.0010092997832004
16,0.3042002568826311,0.0056304168590252,0.0623378631595115,0.0105642969579034,0.6034607797617741,0.1501134036565906,0.0023643412785166,0.0004765311028038,0.0566263305298728,0.0105181169746393
17,0.4512042197697612,0.0214456253725048,0.000287012925373,6.410424972263199e-05,0.1676775103677601,0.021075409953403,7.040940130442962e-05,1.8042006778463524e-05,0.0003594870087873,0.000120945747361
18,0.1626063515147779,0.0197328452480199,0.0045848276199842,0.0009372485843418,0.526952388073036,0.023720221994665,6.18683837900687e-05,1.6013756039711783e-05,0.0045242399955283,0.0009096944233204
19,0.1030720253208937,0.0235847928445166,0.0013942658684584,0.0002611130335558,0.3430298640108561,0.0260832840623517,9.261641946345308e-05,1.8538316917182185e-05,0.0014183315389422,0.0002713587401683
20,0.3386224291069005,0.0322644262397846,0.0473431506044814,0.0061463613990932,0.5602957436888504,0.041739671211402,4.3254020987856136e-05,2.229302185683208e-05,0.0435185812751885,0.005992383704087
21,0.0008341075765059,0.0004473862971922,0.0513573503562237,0.0107289774836636,0.0174849139170513,0.0042043536340469,0.0007501303993614,0.0004600270912022,0.0266353941660715,0.0053743805752101
22,0.0008049128810729,0.0003397969805801,0.0888453842330752,0.0064999048678815,0.0841004077176168,0.0039183939604417,0.0012288074054773,0.000502662248246,0.028354753653791,0.0101885508443108
23,0.1840560150422724,0.0254198220506872,0.0587354098341421,0.0080412972946803,0.6201044952461953,0.0350467421177857,0.0004036291880778,8.688822361495947e-05,0.0530826558093084,0.0077377648178632
24,0.3025155581572266,0.0481040858695074,0.0001484760744696,3.5038319718454984e-05,0.3786185764225349,0.0110533445763794,0.0001180739876495,2.8592966064804006e-05,0.0003188158154895,0.0001070550871326
25,0.4165619730091236,0.0250652928272856,0.0101671142934153,0.0022296570612012,0.3143541775073213,0.0393231901029204,6.8807687051296e-05,1.6520708574602443e-05,0.009988699139219,0.0021851121134037
26,0.5058669601223932,0.0357779399039494,0.0001363034595511,2.357225015303172e-05,0.1516488604561559,0.0217605429197817,0.0002322373804571,4.422966696318029e-05,0.0004845422858366,0.0001382352372703
27,0.4856867700254827,0.0394106576615864,0.0167132131477611,0.0035297881836344,0.311092254359432,0.0239086636274185,0.0001050999744531,2.0048139018675595e-05,0.016409055248734,0.0034503436334275
28,0.0760810793335186,0.0069877068319098,0.0144348672543349,0.0037980804501116,0.4013197919808143,0.0133271281230763,0.0008666879721949,0.0001824307159528,0.0141566716758444,0.0037102594229736
29,0.0016904530827981,0.00035212417118,6.297329157440942,0.0058712848121684,6.2690467701855415,0.0031229082771831,0.004502338692608,0.0005316488936806,2.441352580149384,0.0113763041270383
30,0.3025371959166119,0.0794823735139372,0.0006596563330161,3.114823500047701e-05,0.5598596538280544,0.0039859117119606,4.8262762607289824e-05,1.6588906515345385e-05,0.0006615206262863,6.486428100493978e-05
31,0.1809045401540084,0.0072662872549348,0.1059821326332434,0.0103362394991051,0.3411160141471107,0.0964572277166774,0.0022351334325908,0.0006324020185888,0.1013950963831271,0.010297207371049
32,0.5256753695967553,0.0626063521961947,0.0018109336260912,0.0002373419240275,0.2419314395654686,0.0111618024390839,0.0001164299265266,3.279264587841277e-05,0.0016899351798026,0.0002590624230926
33,0.2153145667985319,0.0106307711925886,0.1190011646747831,0.0099718794983489,0.2548461289736302,0.0331523081958647,0.0072915137495421,0.0015431396346386,0.117201176920983,0.0099202046637522
34,0.5000053238249468,0.0360236131401272,0.0062244058790795,0.0011021047508337,0.216522016726819,0.0238027903739965,9.330771369289964e-05,2.4087078454898307e-05,0.0061027260445156,0.0010854069868757
35,0.1628364270848485,0.0070079604665605,0.2047927015149229,0.0135492929456993,0.197984275339066,0.1041228435054707,0.0118604281811661,0.0032375815102173,0.1794070436065066,0.0135002358917785
36,0.5056692452213818,0.0356051042556458,0.0072330507937504,0.0012493115557703,0.2803175958498888,0.0240319603608473,5.4238145418465936e-05,1.0252786449667345e-05,0.0069580914163052,0.0012072266511559
37,0.5416831448291057,0.0367715459892455,0.0011239392789446,0.0001541436974191,0.1302358357363056,0.0146331034982976,0.0001925444237133,5.467389651093524e-05,0.0012090615726478,0.000234948246844
38,0.0008126448483238,0.0003429258503827,0.1537509830299764,0.0066061387167522,0.1489137714599596,0.0043810365653129,0.0012604493436393,0.000508666202264,0.0418214312960894,0.0104183218361213
39,0.155720871207398,0.0064569140894353,0.0480582186929693,0.0062967049718534,0.6057765003083246,0.0361066824209354,0.0001649476787018,4.059430514603477e-05,0.0438709654239094,0.006176320373184
40,0.0198248136226829,0.0028169925678814,0.014294526185707,0.0020095787393449,0.3245494711186606,0.012863440695826,0.0001538752274277,6.544600215757769e-05,0.0139937244195667,0.0020282393959042
41,0.428748111365711,0.0311872282489117,0.000733147899478,0.0001112907376118,0.1924424987155245,0.0130442301078042,5.8899149194311385e-05,1.639541513686942e-05,0.0006425371810839,0.0001406299966981
42,0.4970757185233043,0.0324976640533229,8.538533495732591e-05,4.988510776569522e-06,0.1602301406923102,0.008567348684358,0.0001049112386083,2.536349100921528e-05,0.0002369739533043,9.799647923629948e-05
43,0.1652826984696052,0.021575374979234,0.0402921263716806,0.0056350332468657,0.5261597870625047,0.0130563229961267,0.0002291593268416,7.781946972273691e-05,0.0380338701192653,0.0054576294023633
44,0.1906640942472925,0.0052942885234635,0.0245042428475953,0.0039451354378183,0.5203151843313192,0.0951742005456639,0.0002308083498017,4.470479755444784e-05,0.0236263966495972,0.00387242990904
45,0.1661770013552211,0.0107008595722895,0.0334589778115937,0.0057262328910791,0.4636218440775694,0.057883813980756,0.0006027595037216,0.0001242367494536,0.0320389037685565,0.0056026616811076
46,0.5220913633088621,0.1090520301640083,0.0001507266397427,1.6977236388939778e-05,0.1397323031140111,0.0064384400026617,0.000104819718293,3.271501985824951e-05,0.000271248072383,0.0001184027372023
47,0.1697213661942827,0.0533310412662055,0.0208620060594838,0.002511977102709,0.4514131552755479,0.0142728028892599,4.1127621182652856e-05,7.677384639112229e-06,0.020495354667622,0.0024525090647733
48,0.250148711796128,0.0282318117729418,0.003857700252587,0.0009360857035588,0.4696195233432126,0.0207454722456815,4.154657785590388e-05,6.53151085057396e-06,0.0037929425655285,0.0009165294577402
49,0.0203972659907307,0.0023617047612357,0.0176744553203343,0.0025392914880014,0.379648905028814,0.0170886943143868,0.0001442115706154,5.357846761878455e-05,0.0172914040707515,0.0025581372689196
